pm_id,kalshi_id,entry_day,direction,cost,edge,days_held,annualized,realized_payout,realized_pnl,pm_title
645579,KXNHLADAMS-26-DMUS,2025-10-28,k_yes,0.606403,0.393597,218,1.0867428943724664,1.0,0.393597,Will Dan Muse win the 2025–2026 NHL Jack Adams Award?
2446563,KXNCAABASEBALL-26-OKLA,2026-06-07,k_yes,0.6102259874999999,0.3897740125000001,16,14.571191398426397,1.0,0.3897740125000001,Will Oklahoma win the 2026 College World Series?
645572,KXNHLADAMS-26-JCOO,2025-10-28,k_yes,0.616368,0.383632,218,1.042104121283913,1.0,0.383632,Will Jon Cooper win the 2025–2026 NHL Jack Adams Award?
645567,KXNHLADAMS-26-LRUF,2025-10-28,k_yes,0.627607,0.372393,218,0.9934593484209124,1.0,0.372393,Will Lindy Ruff win the 2025–2026 NHL Jack Adams Award?
645611,KXNHLNORRIS-26-ZWER,2025-10-25,k_yes,0.63378875,0.36621125,221,0.9543062022919676,1.0,0.36621125,Will Zach Werenski win the 2025–2026 NHL James Norris Memorial Trophy?
1972794,KXNBAFINMVP-26-VWEM,2026-04-23,k_yes,0.64138,0.35862000000000005,52,3.92471941510733,1.0,0.35862000000000005,Will Victor Wembanyama win the 2026 NBA Finals MVP?
645812,KXNHLVEZINA-26-JSWA,2025-10-25,k_yes,0.64255075,0.35744925000000005,224,0.9064665893399974,1.0,0.35744925000000005,Will Jeremy Swayman win the 2025–2026 NHL Vezina Trophy?
2525426,KXWCGOAL-26JUN18CANQAT-CANJDAVID30-3,2026-06-18,k_yes,0.6442559499999999,0.3557440500000001,1,201.54501987913352,1.0,0.3557440500000001,Jonathan David: 3+ goals
2354529,KXPGATOUR-CHSC26-LABE,2026-05-28,k_yes,0.65736023,0.34263977,3,63.41703799655378,1.0,0.34263977,Will Ludvig Åberg win the 2026 Charles Schwab Challenge?
1389570,KXFARRERBYELECTION-26DEC31-HDAL,2026-02-19,k_yes,0.6805079999999999,0.3194920000000001,81,2.1156050668610904,1.0,0.3194920000000001,Will Helen Dalton win the by-election for the seat of Farrer in the Australian House of Representatives?
679608,KXSENATECOR-26-MBAI,2026-02-07,k_yes,0.681131,0.31886899999999996,144,1.186620988147328,1.0,0.31886899999999996,Will Mark Baisley be the Republican nominee for Senate in Colorado?
1835705,KXANIMEBS-26-DEM,2026-05-11,k_yes,0.6913843875,0.3086156125,12,13.577191477355521,1.0,0.3086156125,"Will ""Demon Slayer: Kimetsu no Yaiba Infinity Castle (Yuki Kajiura, Go Shiina)"" win Best Anime Score at the 2026 Crunchyroll Anime Awards?"
679365,KXKXSENATEIAD-26-NSAG,2025-11-15,k_yes,0.6960440000000001,0.3039559999999999,200,0.7969606806466254,1.0,0.3039559999999999,Will Nathan Sage be the Democratic nominee for Senate in Iowa?
2591330,KXMLBALLSTAR-26AL-BWITT7,2026-06-23,pm_yes,0.699712,0.300288,13,12.049476180089918,1.0,0.300288,Will Bobby Witt Jr. be named to the AL All-Star Team at the 2026 MLB All-Star Game?
2625078,KXWCGOAL-26JUN23COLCOD-COLLDIAZ14-3,2026-06-23,k_yes,0.7004607999999999,0.2995392000000001,1,156.0855482562337,1.0,0.2995392000000001,Luis Díaz: 3+ goals
2446558,KXNCAABASEBALL-26-UNC,2026-06-07,k_yes,0.7063637500000001,0.29363624999999993,16,9.483183350115288,1.0,0.29363624999999993,Will North Carolina win the 2026 College World Series?
2525425,KXWCGOAL-26JUN18CANQAT-CANJDAVID30-2,2026-06-18,k_yes,0.7201720000000001,0.27982799999999985,1,141.8233699727286,1.0,0.27982799999999985,Jonathan David: 2+ goals
789540,KXKY4R-26-TMAS,2025-12-03,pm_yes,0.7212,0.27880000000000005,167,0.8449158255867635,1.0,0.27880000000000005,Will Thomas Massie be the Republican nominee for KY-04?
801166,KXSENATEWVR-26-TWIL,2025-12-04,k_yes,0.7251569999999999,0.27484300000000006,160,0.8646204804614728,1.0,0.27484300000000006,Will Tom Willis be the Republican nominee for Senate in West Virginia?
2520511,KXWCGOAL-26JUN17UZBCOL-UZBAFAYZU11-1,2026-06-17,k_yes,0.727513,0.27248700000000003,1,136.7092478072557,1.0,0.27248700000000003,Abbosbek Fayzullayev: 1+ goals
1833872,KXANIMEBCS-26-MYH,2026-04-12,k_yes,0.729487,0.270513,41,3.3012589502004532,1.0,0.270513,"Will ""My Hero Academia FINAL SEASON"" win Best Continuing Series at the 2026 Crunchyroll Anime Awards?"
2480783,KXATTENDUFC250-26JUN-JPAU,2026-06-11,k_yes,0.730757,0.269243,4,33.620510990657635,1.0,0.269243,Will Jake Paul attend UFC Freedom 250?
2494156,KXWCGOAL-26JUN14SWETUN-SWEVGYOKE14-2,2026-06-14,k_yes,0.7373879999999999,0.26261200000000007,1,129.99042566464337,1.0,0.26261200000000007,Viktor Gyökeres: 2+ goals
1830326,KXLIGAMX-26CLA-PUM,2026-04-12,k_yes,0.741728,0.25827199999999995,43,2.955677603123115,1.0,0.25827199999999995,Will Pumas UNAM win Liga MX?
1066079,KXNBADRAFT1-26-DPET,2026-01-04,k_yes,0.7472320000000001,0.2527679999999999,171,0.7220435354584908,1.0,0.2527679999999999,Will Darryn Peterson be the first pick in the 2026 NBA draft?
2333597,KXTOPSONG-26JUN06-RAN,2026-05-25,k_yes,0.7487769875000001,0.2512230124999999,7,17.494508873091814,1.0,0.2512230124999999,"Will ""Ran To Atlanta - Drake"" be the Billboard Hot 100 #1 song for the week of June 6?"
959117,KXIA02R-26-CMCC,2025-12-29,k_yes,0.7574329999999999,0.2425670000000001,156,0.7493000481010644,1.0,0.2425670000000001,Will Charlie McClintock be the Republican Nominee for IA-02?
1833902,KXANIMEBNS-26-CLE,2026-05-05,k_yes,0.7626807999999999,0.23731920000000006,18,6.309724854749197,1.0,0.23731920000000006,"Will ""Clevatess"" win Best New Series at the 2026 Crunchyroll Anime Awards?"
704288,KXUT1D-26-LESC,2025-12-08,k_yes,0.763261,0.23673900000000003,198,0.5717740105027024,1.0,0.23673900000000003,Will Luz Escamilla be the Democratic nominee for UT-01?
2625077,KXWCGOAL-26JUN23COLCOD-COLLDIAZ14-2,2026-06-23,k_yes,0.766207,0.23379300000000003,1,111.37257294699738,1.0,0.23379300000000003,Luis Díaz: 2+ goals
705987,KXCA22PRIMARY-26-CMAT,2025-12-13,k_yes,0.7667160000000001,0.23328399999999994,179,0.6204263873309369,1.0,0.23328399999999994,Will Chris Mathys advance from the CA-22 Primary?
703773,KXNY7D-26-JSAL,2025-11-28,k_yes,0.766987,0.23301300000000003,208,0.5331159521708874,1.0,0.23301300000000003,Will Julia Salazar be the Democratic nominee for NY-07?
801165,KXSENATEWVR-26-AGAA,2025-12-04,k_yes,0.7674270000000001,0.23257299999999992,160,0.6913454390450163,1.0,0.23257299999999992,Will Alexander Gaasserud be the Republican nominee for Senate in West Virginia?
2354831,KXPGATOP20-CHSC26-APUT,2026-05-29,pm_yes,0.767932,0.23206800000000005,2,55.15125037112663,1.0,0.23206800000000005,Will Andrew Putnam finish in the Top 20 at the 2026 Charles Schwab Challenge?
2411147,KXPGATOUR-THMTPBW26-PCAN,2026-06-04,k_yes,0.7756568575,0.22434314249999998,3,35.18963582101767,1.0,0.22434314249999998,Will Patrick Cantlay win the 2026 the Memorial Tournament presented by Workday?
679689,KXSENATEALD-26-DLAR,2025-11-15,k_yes,0.7850429999999999,0.21495700000000006,214,0.4670218909730299,1.0,0.21495700000000006,Will Dakarai Larriett be the Democratic nominee for Senate in Alabama?
704282,KXUT1D-26-KRIE,2025-12-12,k_yes,0.78590864,0.21409135999999995,194,0.5125287267985439,1.0,0.21409135999999995,Will Kathleen Riebe be the Democratic nominee for UT-01?
2613330,KXWCGOAL-26JUN22NORSEN-NOREHAALA9-3,2026-06-22,k_yes,0.7869384875,0.21306151250000005,1,98.82278386148958,1.0,0.21306151250000005,Erling Haaland: 3+ goals
2354486,KXPGATOUR-CHSC26-GHIG,2026-05-27,k_yes,0.7914979375,0.20850206250000003,4,24.037729350526583,1.0,0.20850206250000003,Will Garrick Higgo win the 2026 Charles Schwab Challenge?
2520559,KXWCGOAL-26JUN17UZBCOL-COLLDIAZ14-3,2026-06-17,k_yes,0.7918994874999999,0.20810051250000006,1,95.91708071726721,1.0,0.20810051250000006,Luis Díaz: 3+ goals
645258,KXNHLHART-26-CMCD,2025-10-30,k_yes,0.7943870000000001,0.20561299999999993,224,0.4217579595066023,1.0,0.20561299999999993,Will Connor McDavid win the 2025–2026 NHL Hart Memorial Trophy?
2411120,KXPGATOUR-THMTPBW26-LABE,2026-06-04,k_yes,0.79645383,0.20354616999999997,3,31.09380994083067,1.0,0.20354616999999997,Will Ludvig Aberg win the 2026 the Memorial Tournament presented by Workday?
788440,KXSENATEKYD-26-CBOO,2025-12-19,k_yes,0.797644,0.20235599999999998,152,0.6091949013529053,1.0,0.20235599999999998,Will Charles Booker be the Democratic nominee for Senate in Kentucky?
2354316,KXPGATOUR-CHSC26-ECOL,2026-05-27,k_yes,0.7977183174999999,0.20228168250000012,4,23.138748507081903,1.0,0.20228168250000012,Will Eric Cole win the 2026 Charles Schwab Challenge?
2156223,KXPGATOP10-TRC26-RMCI,2026-05-06,pm_yes,0.7980829999999999,0.20191700000000012,4,23.08647878729407,1.0,0.20191700000000012,Will Rory McIlroy finish in the Top 10 at the 2026 Truist Championship?
2411415,KXPGATOUR-THMTPBW26-CAME,2026-06-04,k_yes,0.7998030075000001,0.2001969924999999,3,30.45412498547856,1.0,0.2001969924999999,Will Cameron Young win the 2026 the Memorial Tournament presented by Workday?
2525418,KXWCGOAL-26JUN18CANQAT-CANCLARIN17-3,2026-06-18,k_yes,0.8007134874999999,0.19928651250000007,1,90.84345174402976,1.0,0.19928651250000007,Cyle Larin: 3+ goals
2354253,KXPGATOUR-CHSC26-MMEI,2026-05-27,k_yes,0.80451823,0.19548177,4,22.171917114295844,1.0,0.19548177,Will Mac Meissner win the 2026 Charles Schwab Challenge?
2294577,KXPGATOP10-THCCBN26-BGAR,2026-05-22,k_yes,0.8050907500000001,0.19490924999999992,1,88.36503990388657,1.0,0.19490924999999992,Will Brice Garnett finish in the Top 10 at the 2026 THE CJ CUP Byron Nelson?
1835809,KXANIMEBVAPJ-26-DAI,2026-04-24,k_yes,0.80551375,0.19448624999999997,29,3.0388608276823117,1.0,0.19448624999999997,Will Daiki Yamashita as Izuku Midoriya (My Hero Academia FINAL SEASON) win Best Anime Voice Artist Performance (Japanese) at the 2026 Crunchyroll Anime Awards?
2354225,KXPGATOUR-CHSC26-ABHA,2026-05-27,k_yes,0.8066441175000001,0.1933558824999999,4,21.87299689583987,1.0,0.1933558824999999,Will Akshay Bhatia win the 2026 Charles Schwab Challenge?
